customer_id,name,age,city,feedback_notes,sentiment_label
C360-100000,User 5119,33,Toronto,Very frustrating experience with the recent claim rejection.,Negative
C360-100001,User 1415,30,Sydney,Great experience so far. Highly recommend the health bundle.,Positive
C360-100002,User 3440,63,London,Very frustrating experience with the recent claim rejection.,Negative
C360-100003,User 633,26,Toronto,Just renewing my standard policy for another year.,Neutral
C360-100004,User 2139,45,London,Very frustrating experience with the recent claim rejection.,Negative
C360-100005,User 8833,50,London,"I have some questions about the coverage limits, please call me.",Neutral
C360-100006,User 9905,57,London,Terrible customer service. Waiting too long for claims.,Negative
C360-100007,User 7602,50,New York,I am unhappy with the hidden fees in my life insurance policy.,Negative
C360-100008,User 5968,52,Berlin,Very frustrating experience with the recent claim rejection.,Negative
C360-100009,User 3314,60,Toronto,Terrible customer service. Waiting too long for claims.,Negative
C360-100010,User 3045,29,Berlin,The premium is affordable and the support team is excellent.,Positive
C360-100011,User 198,27,Berlin,I am unhappy with the hidden fees in my life insurance policy.,Negative
C360-100012,User 3100,51,Sydney,Quick responses. Thinking about upgrading my motor insurance.,Positive
C360-100013,User 4145,43,Sydney,Just renewing my standard policy for another year.,Neutral
C360-100014,User 6221,40,New York,Thinking of cancelling. Found a cheaper motor insurance elsewhere.,Negative
C360-100015,User 7992,59,Berlin,Thinking of cancelling. Found a cheaper motor insurance elsewhere.,Negative
C360-100016,User 1221,55,Toronto,Very frustrating experience with the recent claim rejection.,Negative
C360-100017,User 3719,39,London,Just renewing my standard policy for another year.,Neutral
C360-100018,User 6804,25,Toronto,Great experience so far. Highly recommend the health bundle.,Positive
C360-100019,User 6783,42,New York,Terrible customer service. Waiting too long for claims.,Negative
C360-100020,User 436,54,Berlin,Very satisfied with the accidental coverage terms.,Positive
C360-100021,User 5447,63,Sydney,Great experience so far. Highly recommend the health bundle.,Positive
C360-100022,User 6700,62,Sydney,Quick responses. Thinking about upgrading my motor insurance.,Positive
C360-100023,User 329,62,New York,Just renewing my standard policy for another year.,Neutral
C360-100024,User 7912,58,London,I am unhappy with the hidden fees in my life insurance policy.,Negative
C360-100025,User 6123,65,Berlin,Great experience so far. Highly recommend the health bundle.,Positive
C360-100026,User 6568,37,Toronto,Thinking of cancelling. Found a cheaper motor insurance elsewhere.,Negative
C360-100027,User 7489,26,Berlin,I am very happy with the coverage and the easy claim process.,Positive
C360-100028,User 5306,64,Toronto,Terrible customer service. Waiting too long for claims.,Negative
C360-100029,User 27,43,Berlin,I am very happy with the coverage and the easy claim process.,Positive
C360-100030,User 8110,38,Berlin,Thinking of cancelling. Found a cheaper motor insurance elsewhere.,Negative
C360-100031,User 6551,52,Sydney,Very satisfied with the accidental coverage terms.,Positive
C360-100032,User 37,44,Berlin,Need to update my address on the accidental policy.,Neutral
C360-100033,User 5230,41,Sydney,Quick responses. Thinking about upgrading my motor insurance.,Positive
